Country,Category,Date,App ID,App name,Company,App icon,App URL,Release date,Updated date,In app purchases,Rating,Price,Global ratings,Country ratings,Current version ratings,iPhone downloads,iPad downloads,iPhone revenue,iPad revenue
US,All Categories,5/8/15,862303071,94%,Scimob,https://s2.mzstatic.com/us/r30/Purple7/v4/d0/e8/23/d0e823d3-909b-4f6e-8b99-e0bf056442f3/icon180x180.png,https://itunes.apple.com/US/app/id862303071?mt=8&uo=4&partnerId=30,2015-02-09 10:40:06 UTC,2015-05-04 00:00:00 UTC,TRUE,4.5,0,34071,4555,161,3369,653,$261.00 ,$67.24 
US,All Categories,5/8/15,862303071,94%,Scimob,https://s2.mzstatic.com/us/r30/Purple7/v4/d0/e8/23/d0e823d3-909b-4f6e-8b99-e0bf056442f3/icon180x180.png,https://itunes.apple.com/US/app/id862303071?mt=8&uo=4&partnerId=30,2015-02-09 10:40:06 UTC,2015-05-04 00:00:00 UTC,TRUE,4.5,0,34071,4555,161,3369,653,$261.00 ,$67.24 
US,All Categories,5/8/15,840919914,2048,Ketchapp,https://s2.mzstatic.com/us/r30/Purple3/v4/18/94/3e/18943ef0-9ecf-c58d-e9b8-f9871c1cfb0c/icon180x180.png,https://itunes.apple.com/US/app/id840919914?mt=8&uo=4&partnerId=30,2014-03-19 02:29:42 UTC,2014-11-24 00:00:00 UTC,TRUE,4.5,0,498606,133569,14863,4925,1135,$21.50 ,$5.77 
US,All Categories,5/8/15,923917775,-_____-,"Hit-Point Co., Ltd.",https://s1.mzstatic.com/us/r30/Purple1/v4/6c/7d/50/6c7d50da-741a-74d1-20a8-dfec7a250700/icon180x180.jpeg,https://itunes.apple.com/US/app/id923917775?mt=8&uo=4&partnerId=30,2014-10-21 14:08:14 UTC,2015-05-05 00:00:00 UTC,TRUE,5,0,25662,271,22,345,83,$239.09 ,$12.58 
US,All Categories,5/8/15,956794130,"""HOOK""",Maciej Targoni,https://s5.mzstatic.com/us/r30/Purple3/v4/08/1e/3e/081e3eae-ef09-203c-4eb8-d5a503733310/icon180x180.jpeg,https://itunes.apple.com/US/app/id956794130?mt=8&uo=4&partnerId=30,2015-01-21 07:17:31 UTC,2015-02-24 00:00:00 UTC,,5,0.99,1861,376,279,121,31,$81.08 ,$18.91 
US,All Categories,5/8/15,491569843,/ ESCAPE \,Kongregate,https://s5.mzstatic.com/us/r30/Purple1/v4/62/9b/c5/629bc549-a88c-3d7a-ecf5-119a2f2e2f7e/icon180x180.png,https://itunes.apple.com/US/app/id491569843?mt=8&uo=4&partnerId=30,2012-01-11 08:00:00 UTC,2015-03-03 00:00:00 UTC,,4.5,0.99,100,76,3,0,0,,
US,All Categories,5/8/15,329981776,_Sudoku,"Mind The Frog, Inc.",https://s1.mzstatic.com/us/r30/Purple5/v4/77/1b/4d/771b4dfc-8a79-f136-2fa3-0bbeac566e50/icon180x180.jpeg,https://itunes.apple.com/US/app/id329981776?mt=8&uo=4&partnerId=30,2009-09-16 07:00:00 UTC,2014-08-29 00:00:00 UTC,,5,0.99,29217,15522,1653,54,42,$34.29 ,$51.17 
US,All Categories,5/8/15,479280326,_Solitaire,Brainium Studios LLC,https://s2.mzstatic.com/us/r30/Purple3/v4/70/20/3b/70203b98-7351-27a4-3ee9-8fe2ee60f673/icon180x180.png,https://itunes.apple.com/US/app/id479280326?mt=8&uo=4&partnerId=30,2011-11-21 16:55:32 UTC,2015-02-19 00:00:00 UTC,,4.5,0,101005,62317,6469,1691,1655,,
US,All Categories,5/8/15,487025819,_Spider Solitaire,Brainium Studios LLC,https://s2.mzstatic.com/us/r30/Purple1/v4/94/f2/77/94f27702-b7af-cbf5-a175-a794d33108fa/icon180x180.jpeg,https://itunes.apple.com/US/app/id487025819?mt=8&uo=4&partnerId=30,2012-02-09 03:45:41 UTC,2015-02-19 00:00:00 UTC,,4.5,0,61863,39167,4496,1228,774,,
US,All Categories,5/8/15,500963785,_Solitaire,Finger Arts,https://s3.mzstatic.com/us/r30/Purple5/v4/5a/8d/4d/5a8d4d9e-96d6-7941-ffaa-1cf44bbeeb51/icon180x180.jpeg,https://itunes.apple.com/US/app/id500963785?mt=8&uo=4&partnerId=30,2012-03-13 06:09:37 UTC,2015-01-23 00:00:00 UTC,,4.5,0,239084,84999,12775,1466,532,,
